Timestamp,value
2024-08-14T06:49:17.479938974Z,50
2024-08-14T06:50:39.391823341Z,51
2024-08-14T06:50:41.46165681Z,50
2024-08-14T06:51:12.359984365Z,51
2024-08-14T06:51:14.301608783Z,50
2024-08-14T06:51:24.661510261Z,51
2024-08-14T06:51:26.729149977Z,50
2024-08-14T06:51:30.833721979Z,51
2024-08-14T06:51:34.991975254Z,50
2024-08-14T06:51:53.43176076Z,51
2024-08-14T06:51:57.51353252Z,50
2024-08-14T06:52:01.631764084Z,51
2024-08-14T06:52:28.351572778Z,50
2024-08-14T06:52:30.391735943Z,51
2024-08-14T06:52:32.551595359Z,50
2024-08-14T06:52:34.510298867Z,51
2024-08-14T06:52:38.791512734Z,50
2024-08-14T06:52:40.627672497Z,51
2024-08-14T06:52:47.101879465Z,50
2024-08-14T06:52:49.031952205Z,51
2024-08-14T06:53:24.151468325Z,50
2024-08-14T06:53:26.111832851Z,51
2024-08-14T06:54:48.345011032Z,53
2024-08-14T06:54:50.181696845Z,56
2024-08-14T06:54:52.541688652Z,58
2024-08-14T06:54:56.311617759Z,60
2024-08-14T06:54:58.581571164Z,61
2024-08-14T06:55:00.51386871Z,60
2024-08-14T06:55:02.559755274Z,59
2024-08-14T06:55:04.599739322Z,58
2024-08-14T06:55:06.67181227Z,57
2024-08-14T06:55:08.821872706Z,56
2024-08-14T06:55:10.751638104Z,55
2024-08-14T06:55:14.981651218Z,54
2024-08-14T06:55:16.911777047Z,53
2024-08-14T06:55:19.061776975Z,52
2024-08-14T06:55:23.261728741Z,51
2024-08-14T06:55:27.233539065Z,50
2024-08-14T06:55:31.551562819Z,49
2024-08-14T06:55:39.519959122Z,48
2024-08-14T06:55:47.941648748Z,47
2024-08-14T06:56:10.351996366Z,46
2024-08-14T06:56:47.621799394Z,47
2024-08-14T06:56:51.509619592Z,46
2024-08-14T06:56:53.621630563Z,47
2024-08-14T06:58:05.781537684Z,48
2024-08-14T06:59:31.781549422Z,49
2024-08-14T07:01:39.511653904Z,50
2024-08-14T07:01:41.431992344Z,49
2024-08-14T07:01:43.391720094Z,50
2024-08-14T07:01:45.631586852Z,49
2024-08-14T07:01:47.50176777Z,50
2024-08-14T07:04:19.601459912Z,51
2024-08-14T07:04:21.597517488Z,50
