Timestamp,Temperature (°C),Humidity (%)
2024-09-05 16:33:29,22.9,41.0
2024-09-05 16:33:31,22.9,41.0
2024-09-05 16:33:33,22.8,41.0
2024-09-05 16:33:35,22.7,41.0
2024-09-05 16:33:37,22.7,41.0
2024-09-05 16:33:39,22.6,42.0
2024-09-05 16:33:41,22.5,42.0
2024-09-05 16:33:43,22.5,42.0
2024-09-05 16:33:45,22.4,42.0
2024-09-05 16:33:47,22.3,42.0
2024-09-05 16:33:49,22.3,42.0
2024-09-05 16:33:51,22.2,42.0
2024-09-05 16:33:53,22.1,42.0
2024-09-05 16:33:55,22.1,42.0
2024-09-05 16:33:57,22.0,42.0
2024-09-05 16:33:59,22.0,43.0
2024-09-05 16:34:01,21.9,43.0
2024-09-05 16:34:03,21.9,43.0
2024-09-05 16:34:05,21.8,43.0
2024-09-05 16:34:07,21.7,43.0
2024-09-05 16:34:09,21.7,45.0
2024-09-05 16:34:11,21.7,47.0
2024-09-05 16:34:13,21.9,49.0
2024-09-05 16:34:15,21.9,51.0
2024-09-05 16:34:17,22.0,53.0
2024-09-05 16:34:19,22.2,55.0
2024-09-05 16:34:21,22.3,57.0
2024-09-05 16:34:23,22.5,59.0
2024-09-05 16:34:25,22.6,60.0
2024-09-05 16:34:27,24.0,69.0
2024-09-05 16:34:29,24.4,74.0
2024-09-05 16:34:31,24.5,78.0
2024-09-05 16:34:33,24.7,80.0
2024-09-05 16:34:35,24.8,82.0
2024-09-05 16:34:37,24.9,84.0
2024-09-05 16:34:41,25.0,85.0
2024-09-05 16:34:43,25.0,87.0
2024-09-05 16:34:45,25.1,89.0
2024-09-05 16:34:47,25.2,89.0
2024-09-05 16:34:49,25.1,89.0
2024-09-05 16:34:51,25.0,88.0
2024-09-05 16:34:53,25.0,87.0
2024-09-05 16:34:55,25.0,86.0
2024-09-05 16:34:57,24.8,84.0
2024-09-05 16:34:59,24.8,83.0
2024-09-05 16:35:01,24.7,81.0
2024-09-05 16:35:03,24.6,80.0
2024-09-05 16:35:05,24.5,79.0
2024-09-05 16:35:07,24.4,77.0
2024-09-05 16:35:09,24.3,76.0
2024-09-05 16:35:11,24.2,75.0
2024-09-05 16:35:13,24.2,74.0
2024-09-05 16:35:15,24.1,72.0
2024-09-05 16:35:17,24.0,71.0
2024-09-05 16:35:19,24.0,69.0
2024-09-05 16:36:19,23.9,67.0
2024-09-05 16:36:21,23.9,65.0
2024-09-05 16:36:23,23.8,62.0
2024-09-05 16:36:25,23.8,61.0
2024-09-05 16:36:27,23.7,59.0
2024-09-05 16:36:29,23.6,57.0
2024-09-05 16:36:31,23.6,56.0
2024-09-05 16:36:33,23.5,54.0
2024-09-05 16:36:35,23.5,53.0
2024-09-05 16:36:37,23.4,52.0
2024-09-05 16:36:39,23.3,51.0
2024-09-05 16:36:41,23.3,50.0
2024-09-05 16:36:43,23.2,50.0
2024-09-05 16:36:45,23.1,49.0
2024-09-05 16:36:47,23.1,48.0
2024-09-05 16:36:49,23.0,48.0
2024-09-05 16:36:51,23.0,47.0
2024-09-05 16:36:53,22.9,47.0
2024-09-05 16:36:55,22.8,47.0
2024-09-05 16:36:57,22.8,46.0
2024-09-05 16:36:59,22.7,46.0
2024-09-05 16:37:01,22.6,46.0
2024-09-05 16:37:03,22.6,46.0
2024-09-05 16:37:06,22.5,45.0
2024-09-05 16:37:08,22.5,45.0
2024-09-05 16:37:10,22.4,45.0
2024-09-05 16:37:12,22.3,45.0
2024-09-05 16:37:14,22.3,45.0
2024-09-05 16:37:16,22.2,45.0
2024-09-05 16:37:18,22.2,45.0
2024-09-05 16:37:20,22.1,45.0
2024-09-05 16:37:22,22.1,45.0
2024-09-05 16:37:24,22.0,45.0
2024-09-05 16:37:26,21.9,45.0
2024-09-05 16:37:28,21.9,45.0
2024-09-05 16:37:30,21.9,45.0
2024-09-05 16:37:32,21.8,45.0
2024-09-05 16:37:34,21.7,45.0
2024-09-05 16:37:36,21.7,45.0
2024-09-05 16:37:38,21.7,45.0
2024-09-05 16:37:40,21.6,45.0
2024-09-05 16:37:42,21.5,45.0
2024-09-05 16:37:44,21.5,45.0
2024-09-05 16:37:46,21.5,45.0
2024-09-05 16:37:48,21.4,45.0
2024-09-05 16:37:50,21.4,45.0
2024-09-05 16:37:52,21.3,45.0
2024-09-05 16:37:54,21.3,45.0
2024-09-05 16:37:56,21.2,45.0
2024-09-05 16:37:58,21.1,45.0
2024-09-05 16:38:00,21.1,45.0
2024-09-05 16:38:02,21.1,46.0
2024-09-05 16:38:04,21.1,46.0
2024-09-05 16:38:06,21.0,46.0
2024-09-05 16:38:08,21.0,46.0
2024-09-05 16:38:10,20.9,46.0
2024-09-05 16:38:12,20.9,46.0
2024-09-05 16:38:14,20.9,46.0
2024-09-05 16:38:16,20.8,46.0
2024-09-05 16:38:18,24.8,81.0
2024-09-05 16:38:20,27.1,93.0
2024-09-05 16:38:22,28.2,99.0
2024-09-05 16:38:24,28.1,99.0
2024-09-05 16:38:26,28.0,99.0
2024-09-05 16:38:28,27.7,99.0
2024-09-05 16:38:30,27.5,99.0
2024-09-05 16:38:32,27.2,99.0
2024-09-05 16:38:34,27.1,99.0
2024-09-05 16:38:36,26.9,99.0
2024-09-05 16:38:38,26.8,99.0
2024-09-05 16:38:40,26.6,99.0
2024-09-05 16:38:42,26.5,99.0
2024-09-05 16:38:44,26.4,99.0
2024-09-05 16:38:46,26.2,99.0
2024-09-05 16:38:48,26.2,99.0
2024-09-05 16:38:50,26.1,99.0
2024-09-05 16:38:52,26.0,99.0
2024-09-05 16:38:54,25.8,99.0
2024-09-05 16:38:56,25.7,99.0
2024-09-05 16:38:58,25.5,99.0
2024-09-05 16:39:00,25.3,99.0
2024-09-05 16:39:02,25.1,99.0
2024-09-05 16:39:04,25.0,99.0
2024-09-05 16:39:06,24.8,99.0
2024-09-05 16:39:08,24.6,99.0
2024-09-05 16:39:10,24.4,99.0
2024-09-05 16:39:12,24.2,99.0
2024-09-05 16:39:14,24.0,99.0
2024-09-05 16:39:16,23.9,99.0
2024-09-05 16:39:18,23.6,99.0
2024-09-05 16:39:20,23.5,99.0
2024-09-05 16:39:22,23.3,99.0
2024-09-05 16:39:24,23.2,99.0
2024-09-05 16:39:26,23.0,99.0
2024-09-05 16:39:28,22.9,99.0
2024-09-05 16:39:30,22.7,99.0
2024-09-05 16:39:32,22.6,99.0
